|question|ps_0|ps_1|ps_2|right_answer_id
82|Как зовут персонажа, которого сыграл Джеффри Дин Морган в сериале «Ходячие мертвецы»?|Шейн|Ниган|Рик|1
83|Какой год считается годом рождения кинематографа?|1895|1904|1911|0
84|Кем была придумана спортивная командная игра баскетбол?|Джерри Уэст|Джеймс Нейсмит|Уилт Чемберлен|1
85|Какой из этих признаков характерен для однодольных растений?|Стержневая корневая система|Бочковатая корневая система|Мочковатая корневая система|2
86|Как звали мать королевы Елизаветы I?|Анна Болейн|Екатерина Арагонская|Королева Мария|0
87|Какой мультипликационный герой охотился за мышью?|Таффи|Том|Чип|1
88|Какая страна подарила Америке статую Свободы?|Россия|Франция|Япония|1
89|Из каких символов состоит двоичная система счисления?|0 и 1|0 и 2|1 и 2|0
90|В каком году была Пражская весна?|1971|1965|1968|2
91|Сборная какой страны выиграла первый официальный чемпионат Европы по футболу в 1960 году?|Сборная СССР|Сборная ФРГ|Сборная Югославия|0
92|Именно этим годом датирован Высочайший документ, даровавший России ряд ограниченных свобод, в том числе и Думу.|1905|1876|1782|0
93|С какого года Международный женский день 8 марта стал нерабочим днём в России?|1966|1961|1917|0
94|Что во время правления Петра I называли «чёртовым яблоком»?|Капуста|Картофель|Арбуз|1
95|Какой город является столицей Гондураса?|Сан-Сальвадор|Асунсьон|Тегусигальпа|2
96|Где родился Юрий Алексеевич Гагарин?|Деревня Клушино|Москва|Одесса|0
97|Кто является режиссёром фильма «Тёмный рыцарь»?|Стивен Спилберг|Дэвид Кэмерон|Кристофер Нолан|2
98|Сколько дюймов составляет длина мензуры электрогитары фирмы Fender?|25,5|24,75|34|0
99|Кто написал сказку «Три апельсина»?|Лепренс де Бомон|Карло Гоцци|Джонатан Свифт|1
100|Кто создал Wikipedia?|Ларри Сэнгер|Тим Шелл|Джимми Уэйлс|2
101|Как называется процесс логического вывода на основе перехода от частного положения к общему?|Дедукция|Логика|Индукция|2
102|Как звали настоящую мать Бхишмы в сериале «Махабхарата»?|Марина|Ганга|Сативати|1
103|Как назывался корабль, на котором Чарльз Дарвин совершил кругосветное путешествие?|«Бигль»|«Санта-Мария»|«Драккар»|0
104|Какой штат США называют «штатом попутного ветра»?|Мичиган|Огайо|Мэн|2
105|В каком городе НЕ проходили матчи Чемпионата мира по футболу 2018?|Владивосток|Екатеринбург|Саранск|0
106|"Именно это число передавалось старинным словом ""полшестаста""."|550|16|666|0
107|Где прошёл финал Лиги чемпионов УЕФА 2008?|Киев, «Олимпийский»|Москва, «Лужники»|Тбилиси, «Динамо Арена»|1
108|Как называется элемент оптической системы, обращённый к глазу наблюдателя?|Окуляр|Светило|Калейдоскоп|0
109|Автором какого рассказа является В. Л. Дуров?|«Наша Жучка»|«Куст сирени»|«Жизнь и воротник»|0
110|Изменение положения какого космического тела относительно Земли влечёт за собой приливы и отливы?|Марс|Луна|Пояс астероидов|1
111|Что такое «аневризма»?|Болезнь сосудов|Медицинский прибор|Космическое созвездие|0
112|Кто из перечисленных являлся одним из двенадцати апостолов?|Павел|Филипп|Лука|1
113|Что запускает бурную реакцию смеси алюминия и йода?|Воздух|Вода|Ничего|1
114|Кто был третьим чемпионом мира по шахматам?|Эмануэль Ласкер|Александр Алехин|Хосе Рауль Капабланка|2
115|Как звали главную героиню сериала «Салем»?|Линда|Мэри Сибли|Бри Ван де Камп|1
116|Какое из перечисленных чисел является приблизительным значением Пи?|3,1434957|3,1412897|3,1415926|2
117|Какая часть мозга отвечает за координацию движений?|Мозжечок|Продолговатый мозг|Мост|0
118|В какой игре по 6 человек в каждой команде?|Воллейбол|Баскетбол|Хоккей|0
119|На какой реке расположена столица Франции?|Сена|Рейн|Темза|0
120|Именно в этом веке в Японии появились иены|19|-2|12|0
121|Кто выиграл первый Чемпионат мира по футболу?|Уругвай|Бразилия|Испания|0
122|Как называется культовый фильм режиссёра Томми Вайсо, имеющий репутацию одного из худших фильмов в истории?|Улица|Комната|Перрон|1
123|Какой город является городом-государством?|Сингапур|Калифорния|Лондон|0
124|Какая страна считается родиной кофе?|Бразилия|Эфиопия|США|1
125|Какая правящая династия была последней в истории Китая?|Династия Мин|Династия Цзинь|Династия Цин|2
126|Какая из этих песен была не только спета, но и написана Григорием Лепсом?|«Я тебе не верю»|«Шелест»|«Рюмка водки на столе»|1
127|Что НЕ входит в состав формулы воды?|Водород|Углерод|Кислород|1
128|Какое прозвище имеет Дуэйн Джонсон?|Скала|Валун|Глыба|0
129|Сколько раз режиссёр Андрей Звягинцев становился номинантом на премию «Оскар»?|Ни разу|Два раза|Один раз|1
130|Что такое децидофобия?|Боязнь похудеть|Боязнь громких звуков|Страх принятия решений|2
131|Что такое «инфляция»?|Устойчивый рост цен|Устойчивое снижение цен|Стабилизация цен|0
132|Какое из этих заклинаний во вселенной Гарри Поттера заставляет танцевать против воли?|Таранталлегра|Инсендио|Редукто|0
133|Какую панк-группу основал музыкант и писатель Ричард Хелл?|Television|New York Dolls|Generation X|0
134|Сколько игроков в футбольной команде?|22|11|13|1
135|Что такое «маскарпоне»?|Пирожное|Мороженое|Сыр|2
136|Кто из этих режиссеров побывал на дне Марианской впадины?|Джеймс Кэмерон|Стэнли Кубрик|Стивен Спилберг|0
137|Как прозвали гол, забитый Диего Марадоной в четвертьфинале Чемпионата мира по футболу 1986 года?|«Удар Скорпиона»|«Рука Бога»|«Ножницы»|1
138|Как называется верхняя часть панциря черепахи?|Пластрон|Карапакс|Пластида|1
139|Кто из этих грызунов больше остальных?|Дикобраз|Капибара|Бобёр|1
140|Кто является лучшим бомбардиром Лиги чемпионов УЕФА?|Анри|Роналду|Месси|1
141|Какова высота Эйфелевой башни?|305 метров|297 метров|324 метра|2
142|Какой клуб является самым титулованным в НХЛ?|«Вашингтон Кэпиталз»|«Монреаль Канадиенс»|«Детройт Ред Уингз»|1
143|Какой из этих фильмов Квентина Тарантино снят позже?|«Джеки Браун»|«Криминальное чтиво»|«Бешеные псы»|0
144|Какой из проводников имеет меньшее сопротивление?|Серебро|Золото|Медь|0
145|На какой планете находится гора Олимп?|Меркурий|Марс|Земля|1
146|Что в Уругвае бесплатно раздают каждому школьнику?|Ноутбук|Скутер|Айфон|0
147|Как в футболе называют одиннадцатиметровый штрафной удар?|Пенальти|Буллит|Корнер|0
148|Каким был восьмой подвиг Геракла?|Критский бык|Лернейская гидра|Кони Диомеда|2
149|Какой из перечисленных городов самый северный?|Норильск|Игарка|Мурманск|0
150|Кто создал один из первых в мире полномасштабных самолётов?|Владимир Татлин|Александр Можайский|Лев Термен|1
151|Кто является автором серии книг о темном эльфе Дриззт До'Урдене?|Дж. Р. Р. Толкин|Роберт Сальваторе|Нил Гейман|1
152|Что в переводе с греческого означает слово «гипотенуза»?|Противоположная|Натянутая|Лежащая прямо|1
153|Какого газа больше всего в составе атмосферы Земли?|Кислород|Азот|Углекислый газ|1
154|Кто был главным тренером сборной СССР по хоккею во время Cуперсерии 1972 года?|Вячеслав Быков|Анатолий Тарасов|Всеволод Бобров|2
155|Какова численность группы Гавайских островов?|8|24|15|1
156|Какая страна является родиной хоккея?|СССР|Канада|США|1
157|Откуда родом порода собак пекинес?|Египет|Китай|США|1
158|Когда впервые была представлена компьютерная мышь?|21 апреля 1986 года|9 декабря 1968 года|17 августа 1973 года|1
159|В какие годы правил султан Сулейман Великолепный?|1506—1552|1520—1566|1533—1574|1
160|Футболист какой сборной был признан лучшим игроком на чемпионате мира в 2018 году?|Хорватия|Бельгия|Франция|0
161|Сколько республик было в СССР после 1956 года?|16|14|15|2
162|Кто из них НЕ является одним из основателей Рима?|Ромул|Рем|Ром|2
163|В каком году был запущен первый искусственный спутник Земли?|1961|1957|1959|1
164|В какой стране находится Колизей?|Египет|Испания|Италия|2
165|Какой деятель искусства является рекордсменом по количеству полученных статуэток премии «Оскар»?|Мерил Стрип|Уолт Дисней|Дэниел Дэй-Льюис|1
166|Каким был первый подвиг Геракла?|Поимка Керинейской лани|Укрощение Критского быка|Убийство Немейского льва|2
167|Кто придумал группу «Время и Стекло»?|Нюша|Потап|Ёлка|1
168|В каком веке появились первые монеты?|В 7 веке до н. э.|В 10 веке до н. э.|В 4 веке до н. э.|0
169|Как называется часть костюма балерины?|Стопка|Кипа|Пачка|2
170|Кем был Томас Андерс в группе «Modern Talking»?|Гитаристом|Бэк-вокалистом|Ведущим вокалистом|2
171|Какое из яиц является самым большим?|Страусиное яйцо|Яйцо козодоя|Яйцо императорского пингвина|0
172|"Столько вопросов максимально может разыгрываться в каждом выпуске ""Своей игры""."|91|1000|12|0
173|При каком правителе произошло восстание декабристов?|Александр Второй|Николай Первый|Александр Первый|1
174|Какой герой сражался против Бэтмена в фильме 2016 года?|Супермен|Человек-паук|Халк|0
175|В каком году вышел первый выпуск передачи «Вечерний Ургант»?|2011|2013|2012|2
176|В чём измеряется механическая работа?|Ватт|Паскаль|Джоуль|2
177|Как назывался автомобиль охотников за привидениями?|VECTOR-1|NECT-1|ECTO-1|2
178|Какое из этих животных наряду с кенгуру присутствует на гербе Австралии?|Коала|Эму|Утконос|1
179|Какая из этих стран НЕ входит в состав Скандинавских?|Португалия|Норвегия|Дания|0
180|Сколько раз сборная СССР по футболу выигрывала Чемпионат Европы?|2|1|0|1
181|Как называется самый большой гвардейский корабль в городе Владивосток?|Касимов|Немец|Варяг|2
182|Где умер Лев Николаевич Толстой?|Тула|Красная Поляна|Станция Астапово|2
183|Кто является основоположником монетаризма в экономике?|Адам Смит|Ирвинг Фишер|Милтон Фридман|2
184|Как звали ручную обезьянку Майкла Джексона?|Монтсеррат|Баблз|Кукки|1
185|Какой из перечисленных металлов считается самым ценным в мире?|Золото|Платина|Родий|2
186|Какое сердце у рыб?|Трёхкамерное|Двухкамерное|Четырёхкамерное|1
187|Какая из клятв существует?|Клятва Гиппократа|Клятва Склифосовского|Клятва Пифагора|0
188|Какая из перечисленных рок-групп родом из Швеции?|Lordi|Hammerfall|Iron Maiden|1
189|Какая валюта используется в Мьянме?|Кьят|Бат|Рупия|0
190|Сколько сантиметров в одном дюйме?|3,14|10|2,54|2
191|Обычно столько молочных зубов бывает у человека.|20|21|16|0
192|В каком году Д. И. Менделеев открыл периодический закон?|1869|1847|1853|0
193|Где расположен самый высокий небоскрёб в мире?|Объединённые Арабские Эмираты|Китай|Саудовская Аравия|0
194|В каком году произошел первый полет на самолете?|1897|1908|1903|2
195|Кто написал роман «Братья Карамазовы»?|Чехов|Достоевский|Пушкин|1
196|Какое из слов НЕ является названием породы собак?|Оттерхунд|Каталабурун|Тойгер|2
197|Какой химический элемент назван в честь злого подземного гнома?|Гафний|Теллур|Кобальт|2
198|Как зовут отца в семье Симпсонов?|Мистер Бернс|Гомер|Мо|1
199|Сколько недель в году?|45|60|52|2
200|Население какой страны больше?|Бангладеш|Россия|Мексика|0
201|Какой химический элемент назван в честь злого подземного гнома?|Кобальт|Теллур|Бериллий|0
202|Как называют поднятый по разломам участок земной коры?|Грабен|Горст|Регрессия|1
203|В каком году умер Майкл Джексон?|2012|2010|2009|2
204|В каком семействе покрытосеменных растений самое большое количество видов?|Орхидные|Сложноцветные|Лилейные|1
205|Какая параллель является самой длинной?|Экватор|Горизонт|Меридиан|0
206|Кто изначально не являлся мушкетёром в романе Александра Дюма «Три мушкетёра»?|Арамис|Портос|д’Артаньян|2
207|В каком году родился Александр Сергеевич Пушкин?|1750|1799|1795|1
208|Как зовут героиню, которую убил наёмник Тобиаса из телесериала «Чёрная Молния»?|Ева|Кэтрин|Маргарет|0
209|Какой остров является вторым по величине в мире?|Борнео|Новая Гвинея|Мадагаскар|1
210|Как называется самый большой город-государство?|Ватикан|Сингапур|Монако|1
211|Самец какой рыбы вынашивает детёнышей?|Зелёный меченосец|Рыба-хирург|Морской конёк|2
212|Как называется луч, который делит угол пополам?|Высота|Биссектриса|Медиана|1
213|Какая российская гимнастка стала двукратной олимпийской чемпионкой?|Алина Кабаева|Яна Кудрявцева|Евгения Канаева|2
214|"На пачке сигарет такой марки фабрики ""Балканская Звезда"" красуется Наполеон с подбитым глазом и слоган ""Минздрав предупреждал""."|1812|1906|1801|0
215|Кто предположил, что вокруг любого проводника с током возникает магнитное поле?|Ханс Эрстед|Эрнест Резерфорд|Роберт Бойль|0
216|Какие физические величины относятся к термодинамическим параметрам идеального газа?|Объём, давление, температура|Температура и давление|Давление и масса|0
217|Самое высокое здание в  России?|Башня «Федерация»|Лахта-центр|Меркурий Тауэр|1
218|Какой город мира самый большой по численности населения?|Гуанчжоу|Шанхай|Москва|1
219|Для измерения чего нужен теодолит?|Извилистых линий|Вертикальных и горизонтальных углов|Высоты|1
220|Сколько раз была замужем Анджелина Джоли?|5|3|4|1
221|Какой город является столицей Азербайджана?|Сухум|Баку|Сумгаит|1
222|Какой из этих советских фильмов НЕ получал премию «Оскар» в номинации «Лучший фильм на иностранном языке»?|«Москва слезам не верит»|«Дерсу Узала»|«А зори здесь тихие»|2
223|Как звали бога древнеримской мифологии, имевшего два лица?|Гермес|Янус|Анубис|1
224|Как звали бога солнца в древнем Египте?|Анубис|Ра|Геб|1
225|Кто выиграл первый Кубок Гагарина в сезоне 2008/2009?|«Ак Барс» (Казань)|«Салават Юлаев» (Уфа)|«Локомотив» (Ярославль)|0
226|Сколько процентов составляет масса Солнца в Солнечной системе?|Около 89,3 %|Около 99,9 %|Около 57,8 %|1
227|Против чего Мартин Лютер выдвинул 95 тезисов?|Против государства|Против рабства|Против индульгенций|2
228|Когда была основана социальная сеть «ВКонтакте»?|25 ноября 2008|12 января 2007|10 октября 2006|2
229|Как называется мирный договор, которым закончилась Северная война 1700—1721 годов?|Брестский|Ям-Запольский|Ништадский|2
230|Какой гормон синтезируется в передней доле гипофиза?|Вазопрессин|Соматотропин|Окситоцин|1
231|Кто является 23-кратным олимпийским чемпионом по плаванию?|Мэттью Гриверс|Сунь Ян|Майкл Фелпс|2
232|Кто был первым президентом Российской Федерации?|Борис Ельцин |Константин Черненко|Михаил Горбачёв|0
233|Как называется одна тысячная доля?|Микрон|Промилле|Процент|1
234|В каком году была создана Организация Варшавского договора?|1953|1976|1955|2
235|Как называются сосуды, по которым кровь течёт от сердца к органам?|Вены|Артерии|Капилляры|1
236|Кто из морских млекопитающих рожает в воде?|Кит|Калифорнийский морской лев|Морской леопард|0
237|С кем работает врач-геронтолог?|С пожилыми людьми|С детьми|С животными|0
238|Какой город изображен на купюре номиналом 1000 рублей?|Хабаровск|Ярославль|Санкт-Петербург|1
239|Как называются соревнования на основе видеоигр?|Киберспорт|Интерспорт|Игроспорт|0
240|Какой из периодов входит в мезозойскую эру?|Триасовый|Девонский|Пермский|0
241|Самый массовый танк СССР во время Второй мировой войны?|ИС-2|Т-34|КВ-1|1
242|Столицей какого государства является Кигали?|Лесото|Руанда|Мозамбик|1
243|Кем приходилась Елена Глинская Ивану Грозному?|Женой|Матерью|Сестрой|1
244|Какое расстояния от Земли до Солнца?|150 000 000 км|200 000 000 км|149 600 000 км|2
245|Кто режиссёр эпопеи «Звездные войны»?|Джордж Лукас|Мартин Скорсезе|Фрэнсис Форд|0
246|В каком году началась война между Российской и Французской империями?|1914|1812|1945|1
247|Как называется традиционное жилище конической формы, распространённое у народов Сибири?|Чум|Иглу|Юрта|0
248|В каком году была создана периодическая таблица Менделеева?|1889|1879|1869|2
249|Какой физик открыл закон всемирного тяготения?|Галилео Галилей|Исаак Ньютон|Николай Коперник|1
250|В какой стране находится самая большая статуя Иисуса Христа?|Бразилия|Польша|Ватикан|0
251|Какого цвета был шарик у Пятачка, на дне рождения ослика?|Синий|Красный|Зеленый|2
252|Каким телефоном пользовался герой фильма «Матрица» Нео?|Nokia 2110|Nokia 8110|Nokia 3310|1
253|Какая фамилия у человека, который первым достиг Южного полюса?|Амунцен|Амундсен|Амунзен|1
254|Что такое мимикрия?|Болезнь центральной нервной системы|Традиционное блюдо сингапурцев|Внешнее сходство животных с другими животными или предметами|2
255|За кем охотился персонаж комиксов Marvel Блэйд?|Обороти|Зомби|Вампиры|2
256|В каком из перечисленных фильмов НЕ снималась Мадонна?|«Лучший друг»|«Эвита»|«МЫ. Верим в любовь»|2
257|Какое из этих государств является анклавом?|Бурунди|Лесото|Свазиленд|1
258|В какой день Казахстан был провозглашён независимым государством?|16 декабря 1991 года|16 марта 1991 года| 16 июля 1991 года|0
259|Именно в ЭТОМ году поднялись в воздух братья Райт|1903|1876|1782|0
260|В каком произведении М. Ю. Лермонтова была дуэль между Печориным и Грушницким?|«Герой нашего времени»|«Смерть поэта»|«Последний сын вольности»|0
261|Государственный флаг какой из этих стран имеет НЕ прямоугольную форму?|Непал|Бутан|Катар|0
262|Какого купороса не бывает?|Хлористый|Цинковый|Железный|0
263|В каком году Александр Первый утвердил закон о полной отмене крепостного права в Эстляндии?|1913|1848|1816|2
264|Чем занимается гастроэнтеролог?|Удалением части желудка или кишки|Проведением фиброгастродуоденоскопии|Изучением ЖКТ человека и его заболеваниями|2
265|Кто сыграл Энди Дюфрейна в фильме «Побег из Шоушенка»?|Тим Роббинс|Крис Хемсворт|Леонардо Ди Каприо|0
266|В каком году Михаил Сергеевич Горбачёв возглавил СССР?|1987|1986|1985|2
267|Кто из перечисленных писателей умер НЕ в 20 веке?|Михаил Зощенко|Венедикт Ерофеев|Александр Солженицын|2
268|Какую книгу написал Л. Н. Толстой?|«Анна Каренина»|«Пиковая дама»|«Мастер и Маргарита»|0
269|Из каких структурных единиц построены белки?|Аминокислоты|Алкадиены|Ферменты|0
270|В чём измеряется электрический заряд?|В омах|В кулонах|В вольтах|1
271|Как называют людей, которые одинаково хорошо владеют правой и левой рукой?|Амфибия|Абьюзер|Амбидекстр|2
272|Когда умер Иоганн Себастьян Бах?|30 марта 1803 года|28 июля 1750 года|17 декабря 1856 года|1
273|Когда отмечается международный день Чёрного моря?|30 июня|31 августа|31 октября|2
274|Какой из перечисленных городов считался «городом невест»?|Саратов|Тюмень|Иваново|2
275|К какому классу животных относится утконос?|Млекопитающие|Земноводные|Пресмыкающиеся|0
276|В какой цвет на самом деле окрашен «чёрный ящик» в авиатехнике?|Оранжевый|Черный|Синий|0
277|Кто считается открывателем исторически первого антибиотика?|Зинаида Ермольева|Иван Сеченов|Александр Флеминг|2
278|Какой химический элемент, согласно легенде, был открыт с помощью кота?|Йод|Бром|Хлор|0
279|Кто из данных гитаристов НЕ выступал в составе Deep Purple?|Томми Болин|Ингви Мальмстин|Джо Сатриани|1
280|Сколько струн у балалайки?|5|3|6|1
281|Кто занял первое место в Кубке конфедераций 2017 года?|Португалия|Германия|Мексика|1
282|Сколько лет насчитывает история Рима?|3 000|2 800|2 500|1
283|Кто из этих животных НЕ является парнокопытным?|Коза|Лошадь|Корова|1
284|Кто руководил СССР после Сталина?|Хрущёв|Андропов|Маленков|2
285|Сколько весит карат?|200 мг|1,2 г|186,5 мг|0
286|В каком возрасте Леонардо Ди Каприо впервые номинировался на премию «Оскар»?|19|21|24|0
