|question|ps_0|ps_1|ps_2|right_answer_id
18|Этот город - единственный, кто расположен на двух континентах.|Кадис|Стамбул|Танджер|1.0
19|Один из самых выдающихся достопримечательностей города этого города - это Бранденбургер (Бранденбургские ворота). Это однажды отметила границу между Востоком и Западной Германией.|Берлин|Munken|Франкфурт|0.0
20|Этот город славится своим водонациональным движением. Он был назначен сайтом всемирного наследия.|Барри|Неаполь|Венеция|2.0
21|Аппалачская тропа делит два состояния, поскольку она делает его поход через великолепный национальный парк горы. Назовите государства, которые он разделяет.|Новый Гэмпшир и Мэн. Северная Каролина и Теннесси.|Западная Вирджиния и Мэриленд.|1.0|
22|Улица Салливана (в округе Салливана) служит государственной линией, работает на восток и запад, эффективно Bi-поиск этого города в двух государствах. Назовите город и два государства.|Мемфис, Теннесси, Арканзас|Бристоль, Теннесси, Вирджиния|Латема, Мэриленд, Пенсильвания|1.0
23|Город Сан-Йидро находится в каком штате, рядом с какой границей?|California, возле границы с Мексикой.|Вашингтон, недалеко от границы с Орегоном|Калифорния, недалеко от границы с Аризоной|0,0
24|Хотя ангел падает, нести понятие о чем-то ангельском, явление названо в честь Джимми Ангела, пилота Barnstorming от Миссури, который стал современной легендой.|Аргентина|Венесуэла|Панама|1.0
25|Mount Fuji - почти идеально в форме вулкана. Это поклонялось как священная гора.|Таиланд|Китай|Япония|2.0
26|Горус Эверест был сформирован около 50 миллионов лет назад. Он поднимается в несколько метров каждый год из-за геологических сил. На границе, между которой две страны расположены?|Sumatra и China|Таиланд и Непал|Китай и Непал|2.0
27|От леса в пустыню, Гранд-каньон имеет самый экстремальный климат природы.|Мексика|Канада|США|2.0
28|Через тысячи лет существовали, Ниагарский водопад был разрушен со скоростью 4 фута (1,5 метра) в год.|Мексика|Equador|Канада|2.0
29|Название горы Килиманджаро происходит от суахили и означает гору, которая блестит.|Танзания|Зимбабве|Уругуай|0.0
30|Великий Барьерный риф состоит из многих колоний кораллов. Именно поэтому иногда называют крупнейшим живым животным в мире.|Армения|Австралия|Австрия|1.0
31|Вулкан Кракатои, вызванный самым насильственным вулканическим извержением, записанным в истории миров. В 1883 году он уничтожил 75% территории его острова.|Таиланд|Малайзия|Индонезия|2.0
32|Местные люди Батонги по имени Виктория падает Моси-ОА-Туння, которая стоит за дымом, который гром.|Малави|Зимбабве|Мозамбик|1.0
33|прозвищ государство сокровищ, это государство Запада США - это четвертый по величине в районе.|Невада|Орегон|Монтана|2.0
34|Прозвище Зеленое горное государство, это восточное государство США было принято в Союз 4 марта 1791 года.|Вермонт|Пенсильвания|Коннектикут|0.0
35|Прозвище государство Buckeye, это рождение многих президентов США, в том числе Улисс С. Грант.|Небраска|Айова|Огайо|2.0
36|Это государство США, известное как государство равенства, является домом башни дьяволов, представлена в фильме тесные встречи третьего рода.|Северная Дакота|Вайоминг|Айдахо|1.0
37|Дом в ассортименте - это государственная песня этого нами среднего запада, известное как состояние подсолнечника.|Канзас|Небраска|Индиана|0.0
38|Это государство Bluegrass принимает известную лошадь в Луисвилле, а место рождения президента Авраама Линкольна.|Кентукки|Канзас|Небраска|0.0
39|Этот вулкан, представленный в нескольких минутах ходьбы награда в 1933 году, расположен недалеко от индонезийского острова Раката, в проливе Sunda.|Ruapehu|Кракатеи|Килауэа|1.0
40|Расположенный в Танзании, это самая высокая гора Африки.|Гора Кения|Maromokotro|Гора Килиманджаро|2.0
41|Одна из самых интригующих достопримечательностей Венеции - Понте Дей Соспири, что означает это на английском языке.|Река слез|мост вздыхает|улица печали|1.0
42|Если вы думаете, что вы можете увидеть статую свободы только в Нью-Йорке, подумайте снова! Я пошел на этот огромный европейский город и увидел, что он там прямо, стоял возле Гренельского моста и глядя в сторону Атлантического океана, сталкиваясь с его большейСестра в Нью-Йорке Харбор.|Париж|Мадрид|Лондон|0.0
43|Когда я посетил этот одинокий континент, я был настолько перенесен раковинами сферической секции оперы в этом городе.|Сидней|Мельбурн|Брисбен|0.0
44|Мадрид - самый большой город и столица этой страны, чьи самые ценные природные ресурсы - почва - почти треть земли подходит для выращивания.|Испания|Португалия|Аргентина|0.0
45|Улаан Батор является столицей этой малонаселенной страны, где одомашненные животные превосходят людей.|Чили|Бразилия|Монголия|2.0
46|Столица этой страны, Сукре, прозвищена Белый город », потому что большинство колониальных зданий в центре города белые.|Боливия|Пакистан|Гондурас|0.0
47|Эта страна о размере Калифорнии, но имеет около одного -Sixth от своего населения. Его столица - Асунсьон.|Куба|Парагвай|Перу|1.0
48|Вьентьян является столицей этой страны, которая имеет более 50 этнических групп, разделенных на три широких категория.|Северная Корея|Вьетнам|Лаос|2.0
49|Пном печа - столица этой страны, чья официальный язык - кхмер.|Cambodia|Южный Вьетнам|Лаос|0.0
50|Вена - столица этой страны, не имеющей выхода к морю, которая стала членом Европейского союза в 1995 году.|Австралия|Бельгия|Австрия|2.0
51|Каракас является столицей этой страны, испанской колонии более 300 лет, до того, как она заявила о своей независимости в начале 19 века.|Перу|Колумбия|Венесуэла|2.0
52|В 1488 году смелый капитан по имени Bartolomew Diaz дал название накидкой штормов на самый южный африканский совет. Тем не менее, португальский король изменил название этого.|Мыс COD Bay|мыс выключателей|мыс доброй надежды|2.0
53|С помощью королевы Изабеллы Испании, Кристофор Колумбус отправился в 1492 году, используя три крошечных корабля. Один из этих кораблей не был частью экспедиции.|Санта-Мария|Пинта|Виктория|2.0
54|Какая из следующих пар (Explorer - область он обнаружил) не правильно?|Cortez - Мексика|Pizarro - Перу|Cabral - Уругвай|2.0
55|Что из следующего не было причиной великих географических открытий?|Португальский король подумал, что его адмиралы будут обманывать его, и он хотел отправить их.|Многие новые изобретения, такие как компас, помогал морякам многое.|Турки контролировали земельный маршрут в Индию. Это заставило западные страны искать альтернативымаршруты.|0,0
56|Трентон является столицей этого восточного государства.|Мэриленд|Нью-Йорк|Нью-Джерси|2.0
57|Juneau является столицей этого последнего пограничного государства.|Юта|Аляска|Калифорния|1.0
58|Колумбус обнаружил Америку в 1492 году и вознагражден этим средним западным государством, имеющим его капитал после него.|Северная Каролина|Южная Каролина|Огайо|2.0
59|Ричмонд является столицей этого государства, где родились многие президенты США.|Мэриленд|Вирджиния|Западная Вирджиния|1.0
60|Столица этого разнообразных северо-западных государств - это Салем.|Массачусетс|Орегон|Новый Гэмпшир|1.0
61|Это государство, в котором находится один из крупнейших городов мира, обладает Олбани как его капитал.|Нью-Йорк|Новая Мексика|Грузия|0.0
62|Город Джефферсон служит столицей этого среднего запаса.|Техас|Калифорния|Миссури|2.0
63|Столица этого южного государства также известна как музыкальный город.|Делавэр|Теннесси|Кентукки|1.0
64|Carson City является столицей этой битвы государства.|Аризона|Невада|Калифорния|1.0
65|Tallahassee расположен на панхандле этого южного государства и служит его столицей.|Pennsylvania|Флорида|Северная Дакота|1.0
66|Если вы находитесь в Сакраменто, столицу этого западного государства, вы находитесь в нескольких минутах езды на красивые пляжи, высокие горы с известными национальными парками и одним из самых глубоких, самых живописных озер в мире.|Аризона|Калифорния|Юта|1.0
67|Остин - столица этого государства США, которое когда-то существовало как независимая республика.|Техас|Мэн|Грузия|0.0
68|Это северо-восточное государство имеет Августу как столицу.|Новый Гэмпшир|Мэн|Пенсильвания|1.0
69|Этот южный штат имеет много пляжей, невероятного форта от революционной войны и Колумбия в качестве его столицы.|Южная Каролина|Огайо|Иллинойс|0.0
70|Этот штат среднего запада имеет Мэдисон как его капитал.|Висконсин|Индиана|Кентукки|0.0
71|Соль-Лейк-Сити, известный соленым, бесплодным пустынным озером к западу от города, был основан мормонами и является столицей этого географически разнообразного государства.|Юта|Южная Дакота|Невада|0.0
73|Вопрос|ps_0|ps_1|ps_2|right_answer_id
74|Одним из остатков этого государства прежний статус как владение Францией является тот факт, что он был назван в честь французского короля.|Оклахома|Флорида|Луизиана|2.0
75|Самое большое озеро в этом штате - озеро окехоби. Государство также является домом для одного из двух естественных круглых озер в мире.|Гавайи|Теннесси|Флорида|2.0
76|Какая государственная столица Вашингтона?|Олимпия|Сиэтл|Walla Walla|0.0
77|Какова государственная столица Калифорнии?|Сакраменто|Лос-Анджелес|Сан-Диего|0.0
78|Что такое государственная столица Айдахо?|Бойсе|Айдахо-Фолс|Покателло|0.0
79|Вопрос|ps_0|ps_1|ps_2|right_answer_id
80|Три из этих животных в гибернации. Какой из них нет?|Мышь|Слинь|лягушка|1.0
81|Три из этих видов сарают их кожу. Какой из них нет?|Пингвины|змеи|насекомые|0.0
82|Все эти животные имеют большие уши (относительно их размера), кроме одного.|Белые медведи|лисицы|летучие мыши|0,0
83|Этот процент всех змей на земле летал для людей.|10%|20%|15%|2.0
84|Змеи такого рода животных.|Травоядные|всеядные|плотоядные|2.0
85|Змеи потребляют их еду с помощью этого процесса.|Дыхание|поглощение|глотание|2.0
86|Змеи принадлежат к следующей категории.|Беспозвоночные|ящерицы|рептилии|2.0
87|Специалист в змеи называется одним из них.|Щекультерист|орнитолог|Опиолог|2.0
88|Одна из следующих змей не принадлежит семье Viperidae.|Рогатый жгут|травяная змея|Viper|1.0
89|Cobras - ядовитые змеи семейства Elapidae, которые обычно населяют регионы этих двух континентов.|Южная Америка и Азия|Азия и Африка|Азия и Австралия|1.0
90|Cobra находится на вершине пищевой цепи, только с двумя главными хищниками - один человек, а другой - это животное.|Шакал|мангуст|Lynx|1.0
91|Здесь расположены ребра Cobras.|За головой|в груди, вокруг середины тела|Cobras не имеют ребер|0.0
92|Детская кобра полностью способна защищать себя так же мало, как это много часов после рождения.|3|12|48|0.0
93|Какой тип собаки Ричард Никсон получил от Техаса, пока он был кандидатом на вице-президент?|Немецкая овчарка|кокер-спаниель|золотой ретривер|1.0
94|Как называлось компаньоном носков в Белом доме во время администрации Клинтона?|Бадди|Обувь|Бейли|0.0
95|Какие из этих президентов были самые домашние животные?|Франклин Делано Рузвельт|Теодор Рузвельт|Билл Клинтон|1.0
96|Какая порода известна как любимая порода королевы Елизаветы II?|Пограничный колли|старый английский овчарка|Уэльс Корги|2.0
97|Как называется собака отца Фразиура на TV Show в Сиэтле?|Niles|Marty|Eddie|2.0
98|Какие из этих морских млекопитающих не в списках исчезающих видов?|Фин кит|Пилотный кит|Синий кит|1.0
99|Эта исчезающая черепаха - самая большая из всех живых черепах, достигающих длины более 2,7 м (8,8 фута) и весом 900 кг (2000 фунтов).|Кожаная морская черепаха|Кемпс Ридли Черепаха|Hawksbill Sea Turtle|0.0
100|Назовите самые редкие и наиболее подверженные под угрозу всех волков.|Красный волк|Эфиопский волк|Black-Booked Wolf|0.0
101|Этот вид больших обезьян с длинными руками и красноватными волосами страдают разрушением среды обитания из-за лесозаготовки, добычи и лесных пожаров.|Горилла|Бабуины|Орангутан|2.0
102|Что такое естественная среда обитания снега леопарда, которое было охотиться за его красивый мех, в результате чего его население снизилось до 1000 животных в 1960-х годах?|Северная Америка|Центральная Азия и Северная Америка|Центральная Азия|2.0
103|Это пресноводное млекопитающее, найденное только в реке Янцзы, является наиболее исчезновенным (даже вымершим) китацентом и одним из самых угроза находящихся под угрозой исчезающих видов в мире.|Ганг Река Дельфин|Китайская река Дельфин|La Plata Dolphin|1.0
104|Джек-джемпер муравьи, желтовато-оранжевые плотоядные муравьеды имени их характерных прыгуных движений, можно найти только на каком континенте?|Северная Америка|Австралия|Африка|1.0
105|Какая из этих животных плавает самой быстрее?|Keblunder|акула|дельфин|2.0
106|Какое слово ссылается на звуковые павлины?|Кричать|Squill|Squeak|0.0
107|Древние японцы думали, что это животное вызвало землетрясениями.|Птицы|пауки|змеи|1.0
108|Сколько типов летучих мышей?|900|700|500|0.0
109|Что самое быстрое животное на 6 ногах?|Ladybug|таракан|жук|1.0
110|Что такое женские овцы называются или известны как?|EWE|Colt|Flece|0.0
111|Что из следующего не является типом бурундука?|Пушистый хвостатый|давно ушастый|восточный|0.0
112|Что из этого не является реальной порой лошади?|Sioux|Русский Троттер|Бельгии|0.0
113|Что из следующего не является типом паука?|Стеклянный паук|Trapdoor Spider|Brown Release Spider|0.0
114|Все, кроме одного из следующих типов медведей. Что является странным?|Лунный медведь|коричневый медведь|черный медведь|0.0
115|Что из этого не является реальной породой овец?|Шотландское черное лицо|Дакота|Hampshire|1.0
116|Что из следующего не породе свиньи?|Норвежский Йоркшир|Вьетнамский горшок-живот|Ridgeback|2.0
117|Что такое порода животных, созданных из пересечения женского льва и мужского тигра?|Тиген|Лигер|Тигон|2.0
118|Что у мужчин львов имеют какие женщины не обладают?|Дополнительный зуб|грива|более длинные ногти|1.0
119|Какова средняя продолжительность жизни льва, живущего в дикой природе?|20 - 30 лет|менее 10 лет|10-15 лет|2.0
120|Кошки слегка дергают кончики своих хвостов, когда охота или когда злитесь, в то время как сильнее дергать указывает на что?|Стресс|недовольство|скука|1,0
121|Если кошка толкает свое лицо на голову, это означает, что?|Нетерпение|Представление|Принятие|2.0
122|Кошки в целом пурр, когда они счастливы, но их также можно услышать мурлыкать в какой другой ситуации?|Когда они огорчены или больны|когда они охотаются или играют|когда они голодны или жаждут|0.0
123|Сколько звуков разной вокализации делает кот?|100|200|50|0.0
124|Каким был самый большой орел, когда-либо на земле?|Золотой орел|Haasts Eagle|Harpy Eagle|1.0
125|Какой термин относится к группе, образованной лягушками и амфибиями?|Drosophillia|Herps|Mollusks|1.0
126|Что такое алекторофобия?|Необоснованный страх перед химическими птицами|необоснованный страх на плотва|необоснованный страх цыплят|2.0
127|Как ученые рассчитывают возраст рыбы?|Они посчитают все зубы в рот рыб.|Они измеряют размер рыбы и сравнивают, что средний размер этого типа рыбы.|Они считают кольца роста на ушной кости.|2.0
128|Фунт для фунта, люди не самые сильные животные. Что считается самым сильным видом, фунт за фунт?|Геркулесский жук|режущий листьев муравей|красный муравей|0,0
129|Какой тип животного - минометчик?|червь|рыба|насекомое|1.0
130|Как называется первая книга Дарвина, которая напрямую справилась с эволюцией?|Эссе на принципах населения|тотем и табу|на происхождении вида|2.0
131|Какая из этих животных имеет самые большие лапы?|Средний горный лев|средний нематод|средняя рысь|2.0
132|Какая максимальная высота у холодников может достигать чихуахуас?|24 дюйма (60 см)|15 дюймов (38 см)|12 дюймов (30 см)|1.0
133|Чихуахуас - единственные собаки, которые будут рождены с чем?|Дополнительная нога сухожилия|безволосовые внутренние уши|неполный череп|2.0
134|Что такое средняя продолжительность жизни чихуахуаса?|8 - 12 лет|8- 18 лет|8 - 26 лет|1.0
135|Чихуахуа Гиджет известен по какой причине?|Париж Хилтон имеет его как домашнее животное.|Это был талисман наполнения в бульдогах Грузии.|Это был талисман для тако Белла.|2.0
136|Что означает слово бегемот ?|Вода свинья|жирная лошадь|речная лошадь|2.0
137|Как долго в течение многих лет продолжается жизнь среднего дикого бегемота?|10-20|40-50|30-40|1.0
138|Это основная пища моря. Миллиарды по миллиардам этих организмов живут в море.|Морские водоросли|планктон|крабы|1.0
139|Это результат гравитационного тяги от Луны и Солнца.|Миграция некоторых видов китов|приливы|береговая линия|1.0
140|Это морское животное, широко считается самым ценным моллюсков, распространена в мелких, теплых водах всех океанов.|Устриц|Креветки|Scallop|0.0
141|Этот краб на самом деле не краб, а членистоногие. Его ближайший родственник - паук.|Fiddler краб|подковы краб|краб паука|1.0
142|Также называется морским печенье, это животное живет в более глубокой воде наполовину похороненной в песке.|Песок доллар|Звездная рыба|Scallop|0.0
143|Красный кенгуру появляется на гербе Австралии вместе с каким другим эндемичным австралийским животным?|Эму|утконос|Динго|0.0
144|Какая из этих млекопитающих была доставлена в Австралию людьми?|ЭЧИДНА|ДИНГО|Коала|1.0
145|Диета коалы состоит в основном из какого вида растений?|Эвкалипт|Бамбук|Ива|0.0
146|Эта австралийская монотримема лежит яйца и имеет замечательное чувство электроцепции.|Утконос|красный кенгуру|Dingo|0.0
147|Какое австралийское животное является крупнейшим живым плотоядным марифутиком на земле?|Тасманский тигр|тасманский дьявол|утконос|1.0
148|Qantas, Australias крупнейшая авиакомпания, имеет австралийское животное на своем красно-белом логотипе?|Коала|кенгуру|emu|1.0
149|В чем разница между мужчиной и женской Галах, птицей какаду, родной в Австралию?|Нет разницы между ними.|Мужчины и самок имеют разные цвета глаз.|Галах-самцы Crested.|1.0
150|Какая ящерица может скворить кровь от углов глаз, чтобы запутать и загнать своих врагов?|Anole|Gila Monster|Рогатая ящерица|2.0
151|Ящерица Гила Монстр была названа в честь того, что?|Бассейн реки Гила|Гила Экспедиция 1857|Alberto Gilardino|0.0
152|Комодо Дракон, самая большая живая ящерица на земле, живет в какой части мира?|Северная Америка|Индонезия|Юго-западный Китай|1.0
153|Какой термин относится к механизму самообороны, который позволяет ящерицам разбить их хвосты при захвате?|Apotemnophilia|Автономия|Автотомия|2.0
154|Какое из этих утверждений о гекконах верно?|Гекконы имеют ножные подушки, которые помогают им подняться гладкими вертикальными поверхностями.|Все эти|Гекконы могут сделать щебетать звуки.|1.0
155|Гекконы имеют недвижимые веки и не могут мигать. Как они держат свои глаза?|Крошечное насекомое живет под своими веками и очищает глаза. Они облизывают свои глаза. Они опускают глаза в воду.|1.0
156|Ящерицы, которые не имеют ног, обычно известны тем, что имя?|Стеклянные ящерицы|монитор ящериц|Skinks|0.0
157|Какая из этих видов ящериц не подвержена опасности?|Восточный бородатый дракон|тупой леопард ящерица|мона земля игуана|0.0
158|Никакие виды ящериц живут на каком континенте?|Южная Америка|Антарктида|Европа|1.0
159|Эта акула считается фильтром. Его диета состоит в основном из планктона, криля и макроакваума.|китовая акула|быка акула|Великая белая акула|0.0
160|Эти акулы белые живот и серые спины затрудняют точку добычи.|hammerhead акула|тигровая акула|Великая белая акула|2.0
161|Эта акула погасила, пока не найдет на побережье Японии в 1898 году.|печенье акула|Мако акула|гоблинская акула|2.0
162|какая акула самый быстрый пловник?|Гобинская акула|Мако акула|медсестра акула|1.0
163|Сколько признанных подвидов жирафа существует?|6|7|9|2.0
164|Как долго длится период беременности жирафа?|18 - 20 месяцев|10 месяцев|14-15 месяцев|2.0
165|Сколько фунтов листьев может потреблять жираф ежедневно?|60 фунтов|100 фунтов|140 фунтов|2.0
166|Какая группа собак принадлежит Бигл?|ретриверы|Соседниты|Гонс|2.0
167|Бигл был разработан в основном для отслеживания какого животного?|белки|кролики|еноты|1.0
168|Около сколько лет бигель было вокруг?|2000|5000|4000|0.0
169|Какие из следующих мультфильмов были бигль?|Мужество|Scooby doo|snoopy|2.0
170|Какой тип глаута у Бигль есть?|длинные|короткие|средние|2.0
171|В какой стране был одомашненный золотая рыба?|Египет|Китай|Япония|1.0
172|Какие цветные рыбки были наиболее ценными китайцами роялти несколько веков назад?|Серебро|Желтый|Оранжевый|1.0
173|Эта птица - самое быстрое животное на планете в своем методе охоты, натул.|Лысый орел|ястреб краснохвостый|перегрин сокол|2.0
174|Это животное является крупнейшим из семейства оленей и можно найти в северных частях Северной Америки.|Газель|лось|белый хвостовой оленей|1.0
175|Какая из этих животных не может быть найдена в Северной Америке?|Flamingo|Walrus|Dingo|2.0
176|Койот живет в Северной Америке, а также идет по этому имени.|Пустынная собака|прерий волк|Prairie Dog|1.0
177|Это североамериканское животное на вершине пищевой цепи в арктическом регионе.|Walrus|Белый медведь|Arctic Fox|1.0
178|Это млекопитающее известно своим черным мехом белой полосой и для его очевидного запаха.|Лень|хорька|скунс|2.0
179|Какой тип животного - хлопок?|Мышь|Snake|Bat|1.0
180|Сколько молочных скунсов может родиться в одном помете?|1-10|1-5|1-7|2.0
181|Что съесть скунсы в дикой природе?|Все эти|насекомые|мясо|0,0
182|Насколько эффективный диапазон укореняет одорочные железы?|15 футов|10 футов|8 футов|0,0
183|Что такое максимальная скорость, которую может достичь красной лисы?|25 миль в час|35 миль в час|45 миль в час|2.0
184|Что из них едят красной лисикой?|Насекомые|черви|все эти|2.0
185|Как долго длится срок службы красных лисичек в дикой природе?|3 года|8 лет|6 лет|0.0
186|Примерно Как долго длится период беременности лисьев?|89 дней|55 дней|40 дней|1.0
187|Что такое взрослый мужчина, известный как?|Петух|Бак|Курица|0.0
188|Что такое слово для кого-то, что боится цыплят?|Ксенофоббор|цыплята|Alektorphobic|2.0
189|Сколько ударов в минуту обычно бежит сердце цыплята?|100-234|147-189|280-315|2.0
190|Какой из следующих цветов яйца неверно для куриного яйца?|черный|белый|розовый|0.0
191|Все домашние цыплята могут быть прослежены к какой птице?|Дикая турция|ара|птица красных джунглей|2.0
192|Какой из следующих персонажей - курица?|Дори|Фогхорн Легурн|Даффи|1.0
193|Что такое средняя продолжительность жизни льва в дикой природе?|6-9 лет|20-24 года|10-14 лет|2.0
194|Большинство львов выживают только в Африке. Но население очень подверженного исчезновению азиатского льва живет в Индии. Сколько предполагаемых львов живут в Индии по состоянию на 2007 год?|300|550|1500|0.0
195|Что такое средняя максимальная скорость, который может достигать льва?|35 миль в час / 56 км / ч|45 миль в час / 72 км / ч|20 миль в час / 32 км / ч|0,0
196|Примерно какое количество мяса требует диеты для взрослых мужского льва в день?|10 фунтов. (4,5 кг)|5 фунтов (2,2 кг)|15 фунтов (6,8 кг)|2.0
197|Примерно Как долго длится период беременности львов?|200 дней|30 дней|120 дней|2.0
198|Какой из них является крупнейшим видом пингвинов?|Король пингвин|гигантский пингвин|император Пингвин|2.0
199|Что означает слово пингвин?|Жир|черный и белый|пловец|0.0
200|Какой из этих животных не является естественным хищником пингвинов?|Леопардовый печать|белый медведь|морской орел Стеллера|1.0
201|Где можно найти белый медведь?|Южный полюс|Антарктида|Арктика|2.0
202|Какого цвета белая кожа медведей?|Черный|белый|розовый|0.0
203|Примерно сколько диких белых медведей оценивается, чтобы жить по Арктике?|20 000|100 000|150 000|0,0
204|Согласно Гиннезе мировых рекордов, самый тяжелый дикий медведь был пойман в 1960 году и весил 1 960 фунтов (890 кг). Какова была его длина?|Более 11 футов (3,40 м) высокий|более 12 футов (3,70 м) высокий|более 9 футов (2,70 м) высокий|0.0
205|Лабрадор Retriever считается собакой средней размера. Сколько он весит, когда полностью выращено?|65 - 110 фунтов|40 - 55 фунтов|55 - 80 фунтов|2.0
206|На каком из этих континентов вы можете найти соленую воду крокодила?|Африка|Южная Америка|Австралия|2.0
207|Сила укуса крокодила зависит от того, сколько фунтов PSI (на квадратный дюйм)?|3000 фунтов на квадратный дюйм|5000 фунтов на квадратный дюйм|700 фунтов на квадратный дюйм|0,0
208|Что такое средний инкубационный период крокодиловых яиц?|50 дней|80 дней|120 дней|1.0
